ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
4145	Obeikan Glass Co.	Capital Goods	192	199	12.2	25.04	3.8%	6.0%	-11.4%	flat	down:359,117	down:75,69	216	45.2%	1004	-	186	49%	-	-38%	-47%
1832	Sadr Logistics Co.	Commercial & Professional Svc	234	181	-	2.5	0.8%	-5.3%	-15.2%	down:38,23	down:447,119	down:427,119	265	22.0%	1171	-	181	24%	-	-15%	+7%
4080	Sinad Holding Co.	Food & Beverages	170	227	-	8.4	4.2%	-7.5%	-20.2%	flat	down:345,111	down:344,111	203	29.0%	479	-	175	44%	-	+43%	+281%
4007	Al Hammadi Holding	Health Care Equipment & Svc	90	147	18.5	25.12	-3.2%	-6.3%	-25.2%	down:28,10	down:541,119	down:181,119	250	42.6%	635	-	174	25%	-	+52%	+118%
6090	Jazan Development and Investment Co.	Food & Beverages	240	240	-	8.15	0.0%	1.1%	-21.5%	flat	down:511,123	down:888,123	213	33.2%	610	-	172	39%	-	+80%	+45%
4230	Red Sea International Co.	Real Estate Mgmt & Dev't	165	26	-	23.55	1.6%	-0.3%	-47.8%	down:16,10	down:278,121	down:101,95	236	91.4%	454	-	136	47%	-	-43%	-49%
6013	Development Works Food Co.	Consumer Services	258	176	-	91.1	0.4%	2.7%	-26.5%	down:24,13	down:172,70	down:446,70	223	62.4%	209	-	129	38%	-	-17%	-2%
4180	Fitaihi Holding Group	Consumer Durables & Apparel	203	185	-	2.43	2.5%	0.0%	-21.1%	flat	down:303,119	down:154,119	201	37.9%	403	-	126	21%	-	+17%	+0%
1810	Seera Group Holding	Consumer Services	71	58	107.2	21.79	7.0%	-8.0%	-23.4%	flat	down:116,111	flat	121	44.6%	216	-	124	50%	-	-26%	+201%
4191	Abdullah Saad Mohammed Abo Moati for Bookstores Co.	Consumer Discretionary Distribution & Retail	188	72	32.6	42.42	5.9%	3.0%	9.9%	flat	flat	up:388,209	33	23.5%	209	-	104	42%	-	+177%	-12%
2220	National Metal Manufacturing and Casting Co.	Materials	239	225	-	12.21	5.1%	2.2%	-25.0%	up:5,3	down:193,121	down:883,121	168	46.9%	1284	-	100	46%	-	-42%	+99%
4018	Almoosa Health Co.	Health Care Equipment & Svc	76	179	26.7	119.1	2.7%	-2.8%	-28.2%	flat	down:118,68	flat	120	67.9%	206	-	66	48%	-	-2%	-3%
2170	Alujain Corp.	Materials	135	91	-	27.12	2.0%	-4.9%	-24.8%	down:2,*	down:569,121	down:458,121	262	34.7%	1083	-	53	27%	-	-50%	-2%
4162	Almunajem Foods Co.	Consumer Staples Distribution & Retail	94	138	16.6	61.4	2.3%	-5.6%	10.9%	flat	flat	down:166,119	139	7.5%	575	-	44	45%	-	+5%	+109%
