ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
4011	Lazurde Company for Jewelry	Consumer Durables & Apparel	211	229	-	10.68	3.4%	-5.6%	-18.6%	down:8,6	down:480,15	down:994,15	241	25.1%	602	-	-	-	-	-68%	+62%
4012	Thob Al Aseel Co.	Consumer Durables & Apparel	144	228	13.7	3.48	-2.0%	-4.1%	-5.9%	down:8,2	down:6,2	down:332,166	252	14.7%	775	-	264	35%	-	-58%	+29%
4013	Dr. Sulaiman Al Habib Medical Services Group	Health Care Equipment & Svc	8	26	34.0	237.8	1.2%	10.9%	-3.9%	up:14,11	down:188,38	flat	65	17.8%	618	-	-	-	-	+7%	+48%
4014	Scientific and Medical Equipment House Co.	Health Care Equipment & Svc	186	230	28.1	27.8	1.9%	-6.6%	-25.2%	down:45,16	down:365,114	down:114,16	234	47.5%	597	-	-	-	-	+101%	+135%
4015	Jamjoom Pharmaceuticals Factory Co.	Pharma, Biotech & Life Science	48	151	19.9	140.8	2.9%	-9.5%	-11.9%	down:29,15	down:17,15	flat	163	16.2%	478	-	-	-	-	-27%	-34%
4016	Middle East Pharmaceutical Industries Co.	Pharma, Biotech & Life Science	128	166	19.4	61.5	6.4%	6.3%	-14.6%	flat	down:178,96	flat	111	28.1%	612	-	53	72%	-	+15%	-16%
4017	Dr. Soliman Abdel Kader Fakeeh Hospital Co.	Health Care Equipment & Svc	56	183	31.2	35.16	0.6%	-0.3%	-10.5%	down:23,7	down:21,7	flat	157	21.2%	425	-	-	-	-	-63%	+70%
4018	Almoosa Health Co.	Health Care Equipment & Svc	76	176	26.7	117.6	1.4%	5.8%	-30.0%	down:8,5	down:111,61	flat	142	70.1%	199	-	-	-	-	-12%	-26%
4019	Specialized Medical Co.	Health Care Equipment & Svc	95	116	13.1	16.02	12.9%	-4.2%	-21.0%	flat	down:39,15	flat	104	32.3%	286	-	-	-	-	-81%	+97%
4020	Saudi Real Estate Co.	Real Estate Mgmt & Dev't	66	111	9.4	16.01	0.4%	-1.2%	-9.9%	flat	flat	down:64,31	118	13.8%	388	-	-	-	-	-2%	-31%
4021	Canadian Medical Center Co.	Health Care Equipment & Svc	238	149	66.9	5.53	3.4%	1.5%	-	flat	flat	flat	53	63.6%	165	-	-	-	-	-72%	-49%
4030	National Shipping Company of Saudi Arabia	Energy	21	16	7.1	34.08	9.6%	1.1%	54.9%	flat	up:194,75	up:850,75	11	8.5%	75	-	-	-	-	+43%	+106%
4031	Saudi Ground Services Co.	Transportation	78	86	13.9	26.84	-0.7%	-11.4%	-42.0%	down:42,9	down:247,9	down:19,9	230	75.8%	582	-	-	-	red	-31%	+39%
4040	Saudi Public Transport Co.	Transportation	149	129	15.7	11.48	4.6%	3.0%	-14.8%	up:12,9	flat	down:300,113	73	25.0%	431	-	-	-	-	-75%	+171%
4050	Saudi Automotive Services Co.	Consumer Discretionary Distribution & Retail	106	61	74.0	43.38	12.7%	-4.6%	-17.8%	down:45,9	down:166,9	flat	170	67.6%	612	-	-	-	-	-8%	+99%
4051	Baazeem Trading Co.	Consumer Discretionary Distribution & Retail	216	210	21.2	5.52	0.0%	-1.8%	-0.2%	down:25,1	down:116,112	down:548,294	207	27.5%	204	-	-	-	-	-42%	-47%
4061	Anaam International Holding Group	Consumer Staples Distribution & Retail	248	122	-	11.97	5.8%	18.2%	-21.5%	up:9,6	down:350,104	down:355,104	123	37.0%	466	-	-	-	-	-63%	-50%
4070	Tihama Advertising, Public Relations and Marketing Co.	Media and Entertainment	244	165	-	20.64	20.5%	46.4%	-23.8%	up:55,*	flat	down:1022,63	72	43.1%	387	-	-	-	green	+43%	-21%
4071	Arabian Contracting Services Co.	Media and Entertainment	86	104	129.3	63.5	-20.8%	-32.2%	-27.0%	down:84,*	down:77,*	down:188,*	246	105.8%	625	All-Time Low	-	-	red,red	-35%	+179%
4072	MBC Group Co.	Media and Entertainment	63	172	19.1	20.39	1.6%	-16.8%	-32.0%	down:117,1	down:324,1	flat	172	85.9%	640	-	-	-	red	-38%	-52%
4080	Sinad Holding Co.	Food & Beverages	170	249	-	7.95	-1.4%	-10.9%	-22.8%	down:30,2	down:338,104	down:337,104	226	36.4%	472	-	-	-	-	+19%	+1%
4081	Nayifat Finance Co.	Financial Services	164	245	-	9.95	6.6%	1.8%	-20.1%	flat	down:351,17	down:183,17	186	37.3%	480	-	-	-	-	-10%	+26%
4082	Morabaha Marina Financing Co.	Financial Services	222	257	-	8.44	14.0%	6.3%	-25.6%	up:3,*	down:241,16	flat	59	37.8%	275	-	-	-	-	-60%	-14%
4083	United International Holding Co.	Financial Services	123	112	7.6	29.96	1.9%	-27.1%	-43.3%	down:61,7	down:178,7	flat	154	96.0%	393	-	-	-	-	-42%	-56%
4084	Derayah Financial Co.	Financial Services	75	115	13.1	20.38	-3.0%	-10.8%	-23.7%	down:46,1	down:107,1	flat	147	55.5%	354	-	-	-	red,red	-30%	+32%
4090	Taiba Investments Co.	Real Estate Mgmt & Dev't	52	181	24.8	18.28	2.5%	-5.5%	-5.5%	down:40,16	down:29,16	flat	151	22.5%	387	-	-	-	-	-52%	-35%
4100	Makkah Construction and Development Co.	Real Estate Mgmt & Dev't	35	71	33.7	79.5	-3.0%	-9.0%	3.3%	down:19,2	down:14,2	flat	160	15.9%	462	-	226	20%	red	-35%	+31%
4110	Batic Investments and Logistics Co.	Capital Goods	160	96	-	2.03	1.5%	-6.9%	-10.2%	down:32,17	down:29,17	down:133,112	225	17.2%	463	-	341	24%	-	-28%	-51%
4130	Saudi Darb Investment Co.	Financial Services	228	62	72.0	2.18	0.9%	5.3%	-29.0%	flat	down:230,104	down:44,24	185	42.7%	464	-	-	-	-	-69%	-64%
4140	Saudi Industrial Export Co.	Capital Goods	229	118	-	2.32	0.4%	-0.4%	10.5%	flat	up:90,13	down:703,176	68	28.4%	146	-	579	42%	-	-23%	-41%
4141	Al-Omran Industrial Trading Co.	Capital Goods	262	239	-	19.35	-2.6%	-3.5%	-28.9%	down:26,1	down:372,1	down:516,1	268	68.0%	1273	-	-	-	-	+92%	-55%
4142	Riyadh Cables Group Co.	Capital Goods	38	41	13.5	105.7	5.9%	-7.3%	-22.3%	down:34,15	down:110,15	flat	155	34.8%	402	-	-	-	-	-53%	+56%
4143	Al Taiseer Group Talco Industrial Co.	Materials	150	213	15.1	35.5	8.8%	0.3%	-13.5%	up:5,1	down:295,114	flat	63	20.7%	527	-	-	-	-	-28%	+101%
4144	Raoom Trading Co.	Capital Goods	176	135	-	72.7	-0.1%	7.4%	24.6%	flat	flat	flat	50	9.9%	17	-	-	-	-	-55%	-12%
4145	Obeikan Glass Co.	Capital Goods	192	195	12.2	24.5	1.6%	6.7%	-19.4%	down:18,2	down:352,110	down:68,62	258	48.4%	997	-	177	37%	-	+2%	-51%
4146	Gas Arabian Services Co.	Capital Goods	116	164	14.8	16.0	8.0%	14.9%	-	flat	flat	flat	51	11.0%	36	-	-	-	-	-46%	-40%
4147	Consolidated Grunenfelder Saady Holding Co.	Capital Goods	205	147	13.3	6.62	5.9%	-14.7%	-	down:42,8	flat	flat	98	59.4%	136	-	-	-	-	-38%	-12%
4148	Alwasail Industrial Co.	Capital Goods	204	157	23.5	3.28	27.1%	22.4%	-	up:9,6	flat	flat	33	11.3%	147	-	-	-	-	-60%	+101%
4150	Arriyadh Development Co.	Real Estate Mgmt & Dev't	92	144	12.3	15.72	-2.8%	-13.5%	-51.5%	down:23,2	down:182,2	down:10,2	219	115.9%	388	-	-	-	red,red	-12%	+33%
4160	Thimar Development Holding Co.	Consumer Staples Distribution & Retail	265	107	-	35.24	5.8%	17.6%	-14.3%	up:1,*	down:183,62	flat	66	42.0%	847	-	196	45%	-	-56%	-70%
4161	BinDawood Holding Co.	Consumer Staples Distribution & Retail	73	202	19.3	4.7	1.5%	-3.1%	-15.3%	down:39,7	down:432,112	down:456,112	239	26.0%	601	-	-	-	-	+22%	-18%
4162	Almunajem Foods Co.	Consumer Staples Distribution & Retail	94	123	16.6	62.7	4.5%	1.8%	6.9%	up:11,10	flat	down:159,112	77	5.3%	568	-	-	-	-	-33%	+64%
4163	Aldawaa Medical Services Co.	Consumer Staples Distribution & Retail	97	154	14.4	38.8	-4.4%	-19.7%	-42.2%	down:79,8	down:533,8	down:104,8	248	76.6%	630	-	-	-	red	-44%	-30%
4164	Nahdi Medical Co.	Consumer Staples Distribution & Retail	42	101	15.2	93.6	-1.5%	-3.9%	-18.0%	down:1,*	down:246,23	down:98,23	255	30.6%	978	-	-	-	-	-41%	+47%
4165	Al Majed Oud Co.	Household & Personal Products	100	156	14.4	117.8	-1.0%	-13.6%	-3.8%	down:73,*	down:31,*	flat	141	42.7%	98	-	370	16%	-	+24%	-14%
4170	Tourism Enterprise Co.	Consumer Services	182	139	-	14.58	-3.1%	-8.8%	-23.3%	down:20,8	down:4,3	down:192,156	210	30.3%	267	-	-	-	-	+13%	-43%
4180	Fitaihi Holding Group	Consumer Durables & Apparel	203	188	-	2.45	3.4%	2.5%	-21.7%	down:24,15	down:296,112	down:147,112	221	36.7%	396	-	119	26%	-	-7%	+19%
4190	Jarir Marketing Co.	Consumer Discretionary Distribution & Retail	27	23	18.5	16.73	0.7%	6.4%	31.4%	flat	up:144,26	flat	30	8.2%	26	-	-	-	-	+16%	-36%
4191	Abdullah Saad Mohammed Abo Moati for Bookstores Co.	Consumer Discretionary Distribution & Retail	188	73	32.6	40.38	0.8%	-0.3%	1.9%	down:22,7	flat	up:381,202	45	29.8%	202	-	97	15%	-	+2%	-48%
4192	AlSaif Stores for Development and Investment Co.	Consumer Discretionary Distribution & Retail	118	252	36.6	6.53	-0.8%	-6.0%	-6.6%	down:31,18	down:16,1	flat	166	8.6%	572	-	-	-	-	+76%	+10%
4193	Nice One Beauty Digital Marketing Co.	Consumer Discretionary Distribution & Retail	152	117	-	11.8	6.9%	-9.6%	-50.7%	down:36,15	down:152,15	flat	148	116.1%	371	-	-	-	-	+100%	-8%
4194	Marketing Home Group for Trading Co.	Consumer Discretionary Distribution & Retail	202	171	14.4	41.54	1.1%	2.5%	-	down:27,5	flat	flat	100	82.5%	208	-	-	-	red	-64%	-49%
4200	Aldrees Petroleum and Transport Services Co.	Consumer Discretionary Distribution & Retail	43	27	25.1	120.0	4.4%	4.0%	-5.4%	up:7,2	down:146,23	flat	64	27.8%	612	-	575	33%	-	-33%	+37%
