symbol,date,open,high,low,close,change,change_percent,volume_traded,value_traded_sar,no_of_trades
4016,2026-09-14,65.25,67.1,65.25,67.0,1.7,2.6,52967.0,3519421.85,620.0
4016,2026-09-13,66.0,66.25,64.8,65.3,-1.3,-1.95,86966.0,5681475.6,708.0
4016,2026-09-10,67.05,67.25,66.5,66.6,-0.45,-0.67,54517.0,3642921.55,475.0
4016,2026-09-09,66.9,67.45,66.85,67.05,-0.05,-0.07,24162.0,1619009.25,280.0
4016,2026-09-08,67.35,67.8,67.1,67.1,-0.45,-0.67,21883.0,1475271.7,366.0
4016,2026-09-07,67.4,67.7,66.95,67.55,0.15,0.22,36609.0,2466788.2,486.0
4016,2026-09-06,66.85,67.7,66.85,67.4,0.55,0.82,47362.0,3185976.95,429.0
4016,2026-09-03,66.65,67.4,66.65,66.85,0.15,0.22,51079.0,3425660.85,557.0
4016,2026-09-02,66.4,67.45,66.4,66.7,-1.1,-1.62,129475.0,8664635.55,1284.0
4016,2026-09-01,67.5,68.1,66.75,67.8,-0.2,-0.29,242901.0,16409553.55,1275.0
4016,2026-08-31,65.9,68.0,65.85,68.0,2.9,4.45,694442.0,46795611.5,2731.0
4016,2026-08-30,64.8,65.15,64.7,65.1,0.35,0.54,140288.0,9109008.85,1221.0
4016,2026-08-27,63.55,64.8,63.2,64.75,1.3,2.05,188127.0,12070547.55,1815.0
4016,2026-08-26,61.75,63.45,61.75,63.45,1.35,2.17,153124.0,9640683.9,1349.0
4016,2026-08-25,62.75,63.1,62.1,62.1,-0.65,-1.04,74011.0,4625398.15,754.0
4016,2026-08-24,62.0,63.45,61.9,62.75,0.75,1.21,157698.0,9911850.6,1315.0
4016,2026-08-23,61.7,62.75,61.65,62.0,0.5,0.81,106139.0,6583224.95,1058.0
4016,2026-08-20,59.0,61.8,58.85,61.5,2.2,3.71,185854.0,11258916.15,1867.0
4016,2026-08-19,59.0,59.6,58.6,59.3,0.3,0.51,81254.0,4804329.2,1308.0
4016,2026-08-18,59.55,59.9,58.6,59.0,-0.4,-0.67,74670.0,4413493.75,1283.0
4016,2026-08-17,59.55,59.8,59.3,59.4,-0.15,-0.25,31292.0,1864581.85,411.0
4016,2026-08-16,60.3,60.95,59.3,59.55,-0.95,-1.57,112676.0,6756779.0,679.0
4016,2026-08-13,60.15,61.0,60.0,60.5,-0.05,-0.08,59078.0,3568241.2,974.0
4016,2026-08-12,60.7,60.75,60.25,60.55,-0.15,-0.25,22579.0,1364557.35,528.0
4016,2026-08-11,61.5,62.0,60.7,60.7,-1.05,-1.7,86421.0,5294232.35,554.0
4016,2026-08-10,61.25,62.5,61.2,61.75,0.45,0.73,88254.0,5457594.9,753.0
4016,2026-08-09,60.75,61.8,60.5,61.3,0.6,0.99,67987.0,4162458.9,641.0
4016,2026-08-06,59.5,61.65,59.3,60.7,1.9,3.23,223279.0,13559533.55,2144.0
4016,2026-08-05,58.75,59.1,58.7,58.8,0.15,0.26,24631.0,1449485.45,380.0
4016,2026-08-04,58.0,59.05,57.8,58.65,0.35,0.6,54892.0,3191160.65,587.0
4016,2026-08-03,57.95,58.4,57.65,58.3,0.4,0.69,29232.0,1697611.5,478.0
4016,2026-08-02,57.85,58.5,57.7,57.9,0.1,0.17,40984.0,2377005.4,425.0
4016,2026-07-30,57.6,58.1,57.55,57.8,0.15,0.26,24645.0,1424324.55,375.0
4016,2026-07-29,58.0,58.25,57.55,57.65,-0.5,-0.86,31966.0,1849724.25,599.0
4016,2026-07-28,58.7,58.7,58.15,58.15,-0.55,-0.94,25136.0,1467780.8,464.0
4016,2026-07-27,59.3,59.8,58.5,58.7,-0.95,-1.59,43252.0,2552959.95,524.0
4016,2026-07-26,59.9,60.0,59.55,59.65,-0.15,-0.25,17780.0,1061152.1,297.0
4016,2026-07-23,59.9,60.6,59.6,59.8,-0.2,-0.33,38361.0,2304416.1,472.0
4016,2026-07-22,60.05,60.05,59.5,60.0,0.25,0.42,23215.0,1387849.45,317.0
4016,2026-07-21,60.55,60.8,59.75,59.75,-0.8,-1.32,37356.0,2245545.1,589.0
4016,2026-07-20,60.0,61.0,59.7,60.55,0.55,0.92,56686.0,3433337.0,499.0
4016,2026-07-19,60.45,60.5,59.1,60.0,-0.45,-0.74,43215.0,2586011.45,553.0
4016,2026-07-16,60.85,60.9,60.4,60.45,-0.45,-0.74,27291.0,1653394.35,399.0
4016,2026-07-15,61.95,62.2,60.55,60.9,-1.4,-2.25,145954.0,8990222.05,793.0
4016,2026-07-14,62.2,63.0,62.1,62.3,-0.7,-1.11,41345.0,2583527.25,504.0
4016,2026-07-13,61.85,63.15,61.85,63.0,0.7,1.12,53500.0,3356366.9,669.0
4016,2026-07-12,62.7,64.15,62.3,62.3,-0.7,-1.11,81238.0,5126953.2,766.0
4016,2026-07-09,60.9,64.5,60.9,63.0,1.65,2.69,316479.0,19857438.35,2451.0
4016,2026-07-08,61.45,61.55,60.9,61.35,-0.1,-0.16,44310.0,2714733.0,668.0
4016,2026-07-07,60.0,61.8,60.0,61.45,0.65,1.07,146755.0,8930800.5,1077.0
4016,2026-07-06,60.15,60.85,60.0,60.8,0.15,0.25,30001.0,1814977.2,420.0
4016,2026-07-05,60.95,61.2,60.35,60.65,-0.4,-0.66,26649.0,1615890.5,326.0
4016,2026-07-02,61.0,61.3,60.75,61.05,0.05,0.08,43417.0,2651167.8,423.0
4016,2026-07-01,60.5,61.6,60.5,61.0,0.5,0.83,70057.0,4274248.5,764.0
4016,2026-06-30,60.85,61.35,59.55,60.5,1.5,2.54,120173.0,7305865.55,1109.0
4016,2026-06-29,58.7,59.5,58.35,59.0,0.3,0.51,38007.0,2235468.35,716.0
4016,2026-06-28,59.75,59.75,58.55,58.7,-1.3,-2.17,55995.0,3300562.35,584.0
4016,2026-06-25,61.0,61.1,59.95,60.0,-1.0,-1.64,58334.0,3528072.05,632.0
4016,2026-06-24,61.25,61.55,60.5,61.0,-0.25,-0.41,102363.0,6240002.65,1252.0
4016,2026-06-23,62.0,62.1,61.15,61.25,-0.95,-1.53,62493.0,3845164.6,745.0
4016,2026-06-22,62.15,63.0,62.05,62.2,0.1,0.16,149233.0,9345395.0,1174.0
4016,2026-06-21,61.65,62.6,61.45,62.1,0.1,0.16,61807.0,3832866.6,743.0
4016,2026-06-18,61.45,62.55,61.35,62.0,0.3,0.49,66759.0,4145635.85,975.0
4016,2026-06-17,61.7,62.35,61.35,61.7,0.0,0.0,53930.0,3334136.7,948.0
4016,2026-06-16,62.1,62.55,61.6,61.7,-0.4,-0.64,65015.0,4042635.25,707.0
4016,2026-06-15,62.4,63.45,61.8,62.1,-0.2,-0.32,131962.0,8248535.05,1346.0
4016,2026-06-14,61.5,62.3,60.95,62.3,0.7,1.14,113001.0,6975295.45,812.0
4016,2026-06-11,61.0,62.05,60.7,61.6,0.6,0.98,193157.0,11888732.4,1494.0
4016,2026-06-10,58.6,61.65,58.6,61.0,1.65,2.78,330149.0,20054397.6,2345.0
4016,2026-06-09,58.95,59.9,58.65,59.35,0.95,1.63,83125.0,4932852.45,812.0
4016,2026-06-08,58.15,58.6,57.95,58.4,-0.2,-0.34,41933.0,2445587.75,575.0
4016,2026-06-07,58.5,58.9,58.2,58.6,-0.3,-0.51,56360.0,3298995.25,767.0
4016,2026-06-04,59.0,59.15,58.3,58.9,-0.15,-0.25,1392587.0,79517567.35,783.0
4016,2026-06-03,59.95,59.95,58.8,59.05,-0.9,-1.5,81009.0,4801492.75,563.0
4016,2026-06-02,60.25,60.25,58.9,59.95,-0.3,-0.5,95312.0,5663795.15,781.0
4016,2026-06-01,60.1,60.95,58.9,60.25,0.8,1.35,138210.0,8330292.4,1478.0
4016,2026-05-31,59.0,60.0,58.8,59.45,0.45,0.76,46177.0,2746913.35,453.0
4016,2026-05-21,57.85,60.5,57.8,59.0,1.15,1.99,337984.0,20056572.5,2302.0
4016,2026-05-20,57.9,58.25,56.85,57.85,1.15,2.03,74130.0,4282060.6,1089.0
4016,2026-05-19,57.6,58.0,56.7,56.7,-0.85,-1.48,95513.0,5507825.85,802.0
4016,2026-05-18,59.0,59.0,57.0,57.55,-1.45,-2.46,101548.0,5874374.95,1017.0
4016,2026-05-17,59.15,59.8,57.35,59.0,-0.45,-0.76,202230.0,11790608.6,2354.0
4016,2026-05-14,58.25,59.9,57.5,59.45,1.1,1.89,144323.0,8537013.65,2074.0
4016,2026-05-13,57.2,58.75,56.6,58.35,0.3,0.52,62305.0,3577469.35,915.0
4016,2026-05-12,58.85,60.5,57.4,58.05,-0.8,-1.36,171881.0,10066982.45,1666.0
4016,2026-05-11,59.99,59.99,58.45,58.85,-1.14,-1.9,188470.0,11126436.6,1362.0
4016,2026-05-10,59.82,60.22,59.02,59.99,1.2,2.04,126409.0,7540654.8,910.0
4016,2026-05-07,60.45,60.45,58.68,58.79,-1.09,-1.82,135139.0,7979085.3,1110.0
4016,2026-05-06,60.28,61.82,59.54,59.88,1.83,3.15,467662.0,28375961.3,2070.0
4016,2026-05-05,59.14,59.14,57.88,58.05,-1.26,-2.12,128235.0,7489641.2,853.0
4016,2026-05-04,59.99,60.51,59.14,59.31,-0.28,-0.47,161891.0,9672461.4,912.0
4016,2026-05-03,58.91,59.88,58.91,59.59,1.03,1.76,95063.0,5645259.1,571.0
4016,2026-04-30,59.36,59.36,58.51,58.56,-0.58,-0.98,112808.0,6633945.0,630.0
4016,2026-04-29,58.85,59.19,58.45,59.14,0.35,0.6,90556.0,5321881.6,731.0
4016,2026-04-28,60.22,60.51,58.74,58.79,-1.43,-2.37,99132.0,5878332.4,766.0
